,Cp,Ct,Ce,Rate
347,3.0353284338028588,3,3.0004741531927595,0.0
348,3.001502658560651,3,3.000739045725396,0.0
349,2.968105044658593,3,3.000744849182944,0.0
350,2.9351301197529645,3,3.0004967866685583,0.0
351,2.9498697352560943,3,3.0,0.20195927355690116
352,2.9644302117396424,3,2.999619009987946,0.20195927355690116
353,2.9788138323258484,3,2.999351575121259,0.20195927355690116
354,2.9930228509404637,3,2.999195488276014,0.20195927355690116
355,3.0070594926862153,3,2.9991485762322636,0.20195927355690116
356,3.0209259542114877,3,2.9992086991973133,0.20195927355690116
357,3.034624404074294,3,2.999373750335421,0.20195927355690116
358,3.0481569831015896,3,2.999641655303837,0.20195927355690116
359,3.061525804743989,3,3.0000103717950997,0.20195927355690116
360,3.0747329554259433,3,3.000477889085511,0.20195927355690116
361,3.0404832411310463,3,3.001042227589698,0.0
362,3.0066670414446763,3,3.0013419792926124,0.0
363,2.973278815615755,3,3.0013824497649675,0.0
364,2.9403130937638293,3,3.0011688621454335,0.0
365,2.907764475972521,3,3.000706358305733,0.0
366,2.87562763139458,3,3.000000000000001,0.0
367,2.901243823873374,3,2.9990547699985997,0.24486966817632877
368,2.926544649413608,3,2.998311406808048,0.24486966817632877
369,2.9515341310333,3,2.9977659794518496,0.24486966817632877
370,2.9762162403005603,3,2.9974146174038685,0.24486966817632877
371,3.000594897991709,3,2.9972535097378836,0.24486966817632877
372,3.0246739747409737,3,2.997278904288613,0.24486966817632877
373,3.0484572916818795,3,2.997487106824051,0.24486966817632877
374,3.071948621080433,3,2.99787448022897,0.24486966817632877
375,3.0951516869602043,3,2.9984374436994408,0.24486966817632877
376,3.118070165719418,3,2.9991724719482225,0.24486966817632877
377,3.083361160235152,3,3.0000760944208835,0.0
378,3.04909146212182,3,3.0007090609210723,0.0
379,3.015255456611863,3,3.001076767170198,0.0
380,2.981847600755054,3,3.0011845252099545,0.0
381,2.9488624224998414,3,3.001037564584097,0.0
382,2.916294519786445,3,3.0006410335042566,0.0
383,2.884138559651549,3,3.000000000000001,0.0
384,2.9084331598561937,3,2.9991194530533525,0.23930737832513332
385,2.932428837991266,3,2.998430237225054,0.23930737832513332
386,2.9561294071501205,3,2.9979286265908773,0.23930737832513332
387,2.979538631661049,3,2.9976109525231274,0.23930737832513332
388,3.002660227711055,3,2.9974736028845754,0.23930737832513332
389,3.025497863961649,3,2.9975130212332566,0.23930737832513332
390,3.048055162156767,3,2.997725706037992,0.23930737832513332
391,3.0703356977229133,3,2.9981082099044944,0.23930737832513332
392,3.0923430003616232,3,2.998657138811914,0.23930737832513332
393,3.1140805546343504,3,2.999369151359692,0.23930737832513332
394,3.0795079180281313,3,3.000240958024579,0.0
395,3.0453727715475645,3,3.000843386920606,0.0
396,3.0116695237435347,3,3.0011818102437706,0.0
397,2.9783926546859054,3,3.0012615168663688,0.0
398,2.945536715048676,3,3.001087713513797,0.0
399,2.9130963252068476,3,3.000665525925462,0.0
400,3.8022441200412653,5,3.0000000000000004,3.933429828123756
401,4.680284587144015,5,3.006097055312314,3.933429828123756
402,5.547359561183101,5,3.0188208805542347,3.933429828123756
403,6.403609062776408,5,3.0380377745270137,3.933429828123756
404,7.249171321696121,5,3.063616116317709,3.933429828123756
405,8.084182799776311,5,3.0954263358785847,3.933429828123756
406,8.90877821352752,5,3.1333408850042073,3.933429828123756
407,9.723090556462045,5,3.177234208700984,3.933429828123756
408,10.527251121133661,5,3.226982716943968,3.933429828123756
409,11.321389520895405,5,3.2824647568158096,3.933429828123756
410,11.184455765682637,5,3.3435605850228143,0.0
411,11.04926644413217,5,3.4031513883958286,0.0
412,10.91579924928215,5,3.4612618628194247,0.0
413,10.784032159505989,5,3.5179163469565418,0.0
414,10.653943434862478,5,3.5731388271319173,0.0
415,10.525511613492565,5,3.6269529421506697,0.0
416,10.398715508062246,5,3.6793819880528673,0.0
417,10.273534202250945,5,3.7304489228049387,0.0
418,10.149947047284815,5,3.780176370928729,0.0
419,10.02793365851439,5,3.828586628069035,0.0
420,9.907473912036002,5,3.8757016655004195,0.0
421,9.788547941356425,5,3.9215431345740894,0.0
422,9.67113613410019,5,3.9661323711056355,0.0
423,9.555219128758996,5,4.0094903997043945,0.0
424,9.440777811482734,5,4.051637938045209,0.0
425,9.327793312911524,5,4.092595401083334,0.0
426,9.2162470050483,5,4.132382905213228,0.0
427,9.106120498171398,5,4.171020272371973,0.0
428,8.997395637786616,5,4.20852703408805,0.0
429,8.89005450161829,5,4.244922435476159,0.0
430,8.784079396638843,5,4.280225439178839,0.0
431,8.679452856136331,5,4.314454729255535,0.0
432,8.576157636819511,5,4.3476287150198285,0.0
433,8.474176715959922,5,4.379765534825506,0.0
434,8.37349328857054,5,4.410883059802127,0.0
435,8.274090764620514,5,4.440998897540767,0.0
436,8.175952766285533,5,4.470130395730572,0.0
437,8.079063125233363,5,4.498294645746789,0.0
438,7.983405879944112,5,4.525508486190887,0.0
439,7.888965273064761,5,4.551788506383412,0.0
440,7.795725748797554,5,4.57715104981019,0.0
441,7.7036719503217705,5,4.601612217522494,0.0
442,7.612788717248505,5,4.625187871491768,0.0
443,7.523061083107979,5,4.647893637919519,0.0
444,7.434474272869011,5,4.669744910502952,0.0
445,7.347013700490207,5,4.690756853656933,0.0
446,7.260664966502483,5,4.7109444056928655,0.0
447,7.175413855622506,5,4.730322281955019,0.0
448,7.091246334396662,5,4.748904977914891,0.0
449,7.008148548875168,5,4.766706772224152,0.0
450,6.926106822315925,5,4.7837417297266995,0.0
451,6.845107652917754,5,4.8000237044303775,0.0
452,6.765137711582623,5,4.815566342438881,0.0
453,6.686183839706494,5,4.830383084844373,0.0
454,6.608233046998438,5,4.844487170581325,0.0
455,6.5312725093276365,5,4.857891639242095,0.0
456,6.455289566597935,5,4.870609333854745,0.0
457,6.380271720649576,5,4.882652903623593,0.0
458,6.30620663318777,5,4.89403480663299,0.0
459,6.233082123737778,5,4.904767312514807,0.0
460,6.160886167626132,5,4.914862505080101,0.0
461,6.089606893987697,5,4.924332284915451,0.0
462,6.019232583798209,5,4.933188371944399,0.0
463,5.949751667931996,5,4.941442307954489,0.0
464,5.881152725244538,5,4.949105459090317,0.0
465,5.813424480679548,5,4.956189018313089,0.0
466,5.746555803400271,5,4.962704007827074,0.0
467,5.68053570494469,5,4.9686612814734294,0.0
468,5.615353337404332,5,4.974071527091811,0.0
469,5.550997991626352,5,4.978945268850186,0.0
470,5.487459095438645,5,4.983292869543285,0.0
471,5.424726211897629,5,4.98712453286009,0.0
472,5.3627890375584695,5,4.990450305620775,0.0
473,5.301637400767417,5,4.993280079983501,0.0
474,5.241261259975985,5,4.995623595621459,0.0
475,5.181650702076704,5,4.997490441870553,0.0
476,5.122795940760155,5,4.998890059848119,0.0
477,5.064687314893019,5,4.99983174454305,0.0
478,5.007315286916885,5,5.000324646877709,0.0
479,4.950670441267524,5,5.000377775742006,0.0
480,4.966652974074118,5,5.0,0.30705352767902416
481,4.982445536587627,5,4.9997465626029625,0.30705352767902416
482,4.998050545955709,5,4.999615074805246,0.30705352767902416
483,5.0134703884196705,5,4.999603184385989,0.30705352767902416
484,5.028707419709788,5,4.999708575136645,0.30705352767902416
485,5.043763965435585,5,4.999928966355402,0.30705352767902416
486,5.05864232147111,5,5.000262112348411,0.30705352767902416
487,5.073344754335294,5,5.000705801937743,0.30705352767902416
488,5.08787350156743,5,5.001257857975964,0.30705352767902416
489,5.102230772097866,5,5.001916136867259,0.30705352767902416
490,5.044509255354213,5,5.002678528095011,0.0
491,4.987519276653711,5,5.00299644162218,0.0
492,4.931251485264109,5,5.002878815168421,0.0
493,4.875696650057428,5,5.0023344474611475,0.0
494,4.820845657980032,5,5.00137200020088,0.0
495,4.766689512542268,5,5.000000000000002,0.0
496,4.813546560215723,5,4.998226840295323,0.42839726308299747
497,4.859826976390345,5,4.9968232701667175,0.42839726308299747
498,4.90553811658851,5,4.9957820983340175,0.42839726308299747
499,4.950687242264037,5,4.9950962440727515,0.42839726308299747
500,4.995281522005451,5,4.994758735659005,0.42839726308299747
501,5.039328032723872,5,4.994762708835238,0.42839726308299747
502,5.082833760825688,5,4.995101405296792,0.42839726308299747
503,5.125805603370243,5,4.99576817119881,0.42839726308299747
504,5.168250369212715,5,4.996756455683313,0.42839726308299747
505,5.210174780132358,5,4.998059809426136,0.42839726308299747
506,5.151258244058049,5,4.9996718832035025,0.0
507,5.09308836873877,5,5.000823939545996,0.0
508,5.035655610161916,5,5.001525149207861,0.0
509,4.978950546391357,5,5.001784540711112,0.0
510,4.922963876005893,5,5.001611002354282,0.0
511,4.867686416557669,5,5.001013284194034,0.0
512,4.897888816626328,5,4.999999999999997,0.3620093769695236
513,4.92772288809623,5,4.999223955006357,0.3620093769695236
514,4.9571933263534556,5,4.99868054689784,0.3620093769695236
515,4.986304766738604,5,4.998365244021702,0.3620093769695236
516,5.015061785314853,5,4.998273584394351,0.3620093769695236
517,5.043468899626204,5,4.998401174721346,0.3620093769695236
518,5.07153056944601,5,4.998743689430623,0.3620093769695236
519,5.099251197515957,5,4.999296869718739,0.3620093769695236
520,5.1266351302755595,5,5.000056522609998,0.3620093769695236
521,5.153686658582352,5,5.001018520028255,0.3620093769695236
522,5.0956303048468525,5,5.002178797881266,0.0
523,5.038309489954826,5,5.002889029334204,0.0
524,4.98171481228,5,5.003158224834921,0.0
525,4.925836990451106,5,5.002995254899504,0.0
526,4.870666861813631,5,5.002408852089696,0.0
527,4.816195380911236,5,5.001407612963597,0.0
528,4.853820066513054,5,4.999999999999998,0.39030553520790673
529,4.890983312143724,5,4.998889032505497,0.39030553520790673
530,4.927691002548922,5,4.998068949030747,0.39030553520790673
531,4.963948947216686,5,4.997534076637486,0.39030553520790673
532,4.999762881340057,5,4.9972788296538875,0.39030553520790673
533,5.035138466767424,5,4.997297708446701,0.39030553520790673
534,5.070081292940692,5,4.9975852982099385,0.39030553520790673
535,5.104596877821477,5,4.998136267769892,0.39030553520790673
536,5.138690668805423,5,4.998945368406285,0.39030553520790673
537,5.172368043624848,5,5.000007432689318,0.39030553520790673
538,5.114227862713388,5,5.001317373332427,0.0
539,5.056824158075686,5,5.002175493051722,0.0
540,5.0001475162292435,5,5.002590822905904,0.0
541,4.944188644098095,5,5.002572253775162,0.0
542,4.888938367472613,5,5.002128538341616,0.0
543,4.834387629489018,5,5.001268293043011,0.0
544,4.8693513368862265,5,5.0,0.37927782992614045
545,4.903886748619312,5,4.999007070160335,0.37927782992614045
546,4.937999326301868,5,4.998284155716623,0.37927782992614045
547,4.971694461701549,5,4.99782599101307,0.37927782992614045
548,5.0049774776335045,5,4.997627391390301,0.37927782992614045
549,5.037853628842374,5,4.997683252045749,0.37927782992614045
550,5.070328102873005,5,4.997988546909403,0.37927782992614045
551,5.1024060209300295,5,4.9985383275347255,0.37927782992614045
552,5.134092438726447,5,4.99932772200453,0.37927782992614045
553,5.165392347321351,5,5.000351933851616,0.37927782992614045
554,5.107486826189065,5,5.001606240993986,0.0
555,5.050314653940272,5,5.002410933441468,0.0
556,4.9938664572227625,5,5.00277500171726,0.0
557,4.938132982577392,5,5.002707296779101,0.0
558,4.8831050949044705,5,5.002216531991168,0.0
559,4.828773775949748,5,5.001311285069309,0.0
560,4.775130122809786,2,5.0,0.0
561,4.722165346456432,2,4.998290988933355,0.0
562,4.669870770280182,2,4.99619243405053,0.0
563,4.618237828652167,2,4.993712389405875,0.0
564,4.567258065504535,2,4.990858782744147,0.0
565,4.516923132928998,2,4.987639417293125,0.0
566,4.467224789793298,2,4.984061973531958,0.0
567,4.418154900375376,2,4.980134010935543,0.0
568,4.369705433015012,2,4.975862969695285,0.0
569,4.321868458782707,2,4.971256172416516,0.0
570,4.2746361501656,2,4.966320825792898,0.0
571,4.228000779770193,2,4.96106402225813,0.0
572,4.18195471904166,2,4.955492741615222,0.0
573,4.136490436999553,2,4.949613852643663,0.0
574,4.091600498989674,2,4.943434114684767,0.0
575,4.047277565451907,2,4.936960179205484,0.0
576,4.0035143907038195,2,4.9301985913409565,0.0
577,3.9603038217398208,2,4.923155791416114,0.0
578,3.9176387970456816,2,4.915838116446573,0.0
579,3.875512345428215,2,4.9082518016191266,0.0
580,3.8339175848599325,2,4.900402981752075,0.0
581,3.792847721338473,2,4.892297692735695,0.0
582,3.7522960477606286,2,4.883941872953076,0.0
583,3.7122559428107667,2,4.875341364681613,0.0
584,3.672720869863476,2,4.866501915475395,0.0
585,3.633684375900246,2,4.857429179528744,0.0
586,3.595140090440006,2,4.848128719021167,0.0
587,3.557081724483342,2,4.83860600544395,0.0
588,3.5195030694702223,2,4.828866420908649,0.0
589,3.4823979962510525,2,4.818915259437717,0.0
590,3.4457604540708946,2,4.808757728237498,0.0
591,3.4095844695666777,2,4.798398948953832,0.0
592,3.3738641457772336,2,4.787843958910488,0.0
593,3.338593661166005,2,4.777097712330676,0.0
594,3.303767268656243,2,4.766165081541825,0.0
595,3.2693792946785556,2,4.7550508581638935,0.0
596,3.2354241382306324,2,4.743759754281404,0.0
597,3.201896269949002,2,4.732296403599419,0.0
598,3.16879023119266,2,4.720665362583675,0.0
599,3.136100633138424,2,4.708871111585104,0.0
600,3.10382215588785,2,4.69691805594891,0.0
601,3.0719495475855862,2,4.684810527108445,0.0
602,3.040477623548993,2,4.672552783664071,0.0
603,3.0094012654089033,2,4.660149012447196,0.0
604,2.9787154202613726,2,4.647603329569704,0.0
605,2.9484150998302767,2,4.634919781458961,0.0
606,2.9184953796406248,2,4.622102345878583,0.0
607,2.8889513982024453,2,4.609154932935174,0.0
608,2.8597783562051142,2,4.596081386071204,0.0
609,2.8309715157219806,2,4.582885483044222,0.0
610,2.802526199425179,2,4.569570936892573,0.0
611,2.7744377898104737,2,4.55614139688782,0.0
612,2.746701728432028,2,4.5426004494740315,0.0
613,2.7193135151469545,2,4.528951619194113,0.0
614,2.6922687073695335,2,4.515198369603354,0.0
615,2.665562919334971,2,4.501344104170377,0.0
616,2.6391918213725707,2,4.487392167165628,0.0
617,2.6131511391882074,2,4.4733458445376,0.0
618,2.587436653155977,2,4.459208364776945,0.0
619,2.5620441976189077,2,4.4449828997686245,0.0
620,2.5369696601986145,2,4.430672565632287,0.0
621,2.512208981113788,2,4.416280423550991,0.0
622,2.4877581525073995,2,4.401809480588469,0.0
623,2.463613217782508,2,4.387262690495052,0.0
624,2.4397702709465703,2,4.372642954502436,0.0
625,2.416225455964133,2,4.3579531221074115,0.0
626,2.3929749661178077,2,4.3431959918447225,0.0
627,2.3700150433774203,2,4.328374312049197,0.0
628,2.3473419777772255,2,4.313490781607292,0.0
629,2.324952106801094,2,4.298548050698183,0.0
630,2.3028418147755603,2,4.283548721524564,0.0
631,2.281007532270635,2,4.268495349033271,0.0
632,2.2594457355082844,2,4.253390441625875,0.0
633,2.2381529457784715,2,4.238236461859381,0.0
634,2.217125728862669,2,4.223035827137165,0.0
635,2.196360694464751,2,4.207790910390279,0.0
636,2.175854495649156,2,4.192504040749244,0.0
637,2.1556038282862464,2,4.177177504206483,0.0
638,2.135605430504751,2,4.1618135442694895,0.0
639,2.115856082151225,2,4.146414362604877,0.0
640,2.0963526042564133,2,4.13098211967343,0.0
641,2.077091858508447,2,4.11551893535626,0.0
642,2.0580707467327723,2,4.1000268895722165,0.0
643,2.0392862103787395,2,4.084508022886636,0.0
644,2.020735230012753,2,4.068964337111576,0.0
645,2.002414824817907,2,4.053397795897625,0.0
646,1.984322052100022,2,4.037810325317419,0.0
647,1.9664540068000016,2,4.022203814440966,0.0
648,1.9488078210124216,2,4.006580115902895,0.0
649,1.9313806635102841,2,3.990941046461727,0.0
650,1.9141697392758446,2,3.9752883875512954,0.0
651,1.8971722890374443,2,3.959623885824402,0.0
652,1.8803855888122656,2,3.943949253688821,0.0
653,1.8638069494549383,2,3.928266169835759,0.0
654,1.847433716211917,2,3.9125762797608648,0.0
655,1.83126326828156,2,3.896881196277892,0.0
656,1.8152930183798377,2,3.8811825000251194,0.0
657,1.7995204123115922,2,3.865481739964615,0.0
658,1.7839429285472843,2,3.8497804338744523,0.0
659,1.7685580778051533,2,3.8340800688339653,0.0
660,1.7533634026387221,2,3.818382101702146,0.0
661,1.7383564770295787,2,3.8026879595892638,0.0
662,1.7235349059853662,2,3.7869990403218106,0.0
663,1.7088963251429161,2,3.771316712900853,0.0
664,1.6944384003764565,2,3.755642317953892,0.0
665,1.680158827410835,2,3.7399771681803036,0.0
666,1.6660553314396858,2,3.7243225487904557,0.0
667,1.6521256667484816,2,3.7086797179385895,0.0
668,1.6383676163424112,2,3.693049907149544,0.0
669,1.6247789915790103,2,3.6774343217394105,0.0
670,1.6113576318054976,2,3.6618341412301914,0.0
671,1.598101404000748,2,3.6462505197585635,0.0
672,1.5850082024218437,2,3.6306845864788038,0.0
673,1.572075948255148,2,3.615137445959971,0.0
674,1.5593025892718448,2,3.599610178577414,0.0
675,1.5466860994878786,2,3.584103840898692,0.0
676,1.5342244788282504,2,3.5686194660639696,0.0
677,1.5219157527956033,2,3.5531580641609777,0.0
678,1.5097579721430507,2,3.537720622594601,0.0
679,1.497749212551187,2,3.522308106451169,0.0
680,1.4858875743092324,2,3.5069214588575286,0.0
681,1.4741711820002528,2,3.4915616013349613,0.0
682,1.46259818419041,2,3.476229434148018,0.0
683,1.4511667531221855,2,3.46092583664834,0.0
684,1.439875084411527,2,3.445651667613541,0.0
685,1.428721396748871,2,3.4304077655812053,0.0
686,1.4177039316039888,2,3.415194949178079,0.0
687,1.4068209529346085,2,3.4000140174445157,0.0
688,1.3960707468987625,2,3.3848657501542405,0.0
689,1.385451621570817,2,3.369750908129499,0.0
690,1.3749619066611332,2,3.3546702335516527,0.0
691,1.3645999532393125,2,3.3396244502672845,0.0
692,1.3543641334609853,2,3.324614264089872,0.0
693,1.3442528402980911,2,3.3096403630970923,0.0
